Data,Casos suspeitos,Casos confirmados,Resultados negativos,Internações UTI,Internações enfermaria,Altas UTI (24h),Altas enfermaria (24h),Óbitos Suspeitos,Óbitos confirmados,Óbitos negativos,Internações totais,Internações sala de emergência,Altas acumuladas UTI (desde 14/04/2020),Altas acumuladas enfermaria (desde 14/04/2020),Índice de ocupação UTI,Pacientes recuperados
17/03/20,,1,,,,,,,,,,,,,,
18/03/20,,,,,,,,,,,,,,,,
19/03/20,,,,,,,,,,,,,,,,
20/03/20,,,,,,,,,,,,,,,,
21/03/20,188,3,25,,,,,0,0,0,14,,,,,
22/03/20,193,3,27,,,,,1,0,0,14,,,,,
23/03/20,225,7,41,,,,,2,0,0,22,,,,,
24/03/20,306,8,67,,,,,2,0,0,36,,,,,
25/03/20,399,8,67,,,,,4,0,0,39,,,,,
26/03/20,697,8,73,,,,,4,0,0,39,,,,,
27/03/20,973,8,86,,,,,3,0,1,47,,,,,
28/03/20,1019,8,104,,,,,3,0,1,37,,,,,
29/03/20,1029,10,105,,,,,4,0,1,40,,,,,
30/03/20,1082,10,105,,,,,4,0,1,50,,,,,
31/03/20,1181,13,143,23,33,,,5,0,1,57,1,,,,
01/04/20,1269,19,196,25,33,,,7,0,2,58,,,,,
02/04/20,1368,24,232,24,40,,,7,0,2,64,,,,,
03/04/20,1455,37,303,26,35,,,6,2,2,61,,,,,
04/04/20,1543,45,317,28,36,,,7,2,2,64,,,,,
05/04/20,1615,47,374,28,32,,,8,2,4,60,,,,,
06/04/20,1715,49,402,28,32,,,8,2,4,60,,,,,
07/04/20,1794,49,407,23,27,,,10,2,4,50,,,,,
08/04/20,1901,56,475,24,24,,,10,2,4,48,,,,,
09/04/20,1997,59,518,19,26,,,7,3,7,45,,,,,
10/04/20,2066,64,574,18,23,,,9,3,7,41,,,,,
11/04/20,2129,65,619,15,17,,,7,4,11,32,,,,,
12/04/20,2211,66,635,13,15,,,7,4,12,28,,,,,
13/04/20,2314,66,696,18,14,,,8,4,12,32,,,,,
14/04/20,2423,66,,17,15,7,5,6,4,,32,,7,5,,
15/04/20,2515,66,,11,18,8,7,7,4,,29,,15,12,,
16/04/20,2605,69,,13,19,1,5,7,4,,32,,16,17,,
17/04/20,2687,74,892,16,18,3,3,8,4,,34,,19,20,,
18/04/20,2755,74,905,14,16,6,6,6,4,,30,,25,26,,
19/04/20,2827,78,905,15,17,1,2,7,4,,32,,26,28,0.8,
20/04/20,2905,81,955,14,14,4,8,7,4,,28,,30,36,0.85,
21/04/20,2971,81,955,14,15,3,3,6,4,,29,,33,39,0.78,
22/04/20,3063,92,963,14,16,4,4,4,5,,30,,37,43,0.8,
23/04/20,3168,96,1005,14,18,3,5,2,7,,32,,40,48,0.88,
